id,name,singer,detected_key,confidence,first_chord,last_chord,num_chords,status,final_key
1000001,"בך לא נוגע","יהודית רביץ",F,0.49,F,C,96,low-confidence,F
1000002,"חלומות שמורים","מתי כספי",Em,1,Em,E,74,ok,Em
1000003,"משחק של דמעות","נקמת הטרקטור",C,0.48,Em,C,86,low-confidence,C
1000004,"בלילות של ירח מלא","ערן צור",Bm,1,Bm,E,78,ok,Bm
1000005,"יעלה ויבוא","גידי גוב",D,1,D,D,110,ok,D
1000006,"ניצוצות","פורטיסחרוף",Am,0.51,Am,D,120,low-confidence,Am
1000007,"יש לי חדר משלי","ארקדי דוכין",E,0.87,E,E,139,ok,E
1000008,"עד הקצה","דנה ברגר",F,1,F,F,71,ok,F
1000009,"קח לך","שלום חנוך",D,1,D,A,118,ok,D
1000010,"פרפרים לבנים","אורי בנאי",Bm,1,Bm,Bm,117,ok,Bm
1000011,"היא כל כך יפה","כוורת",E,0.76,E,Db,153,ok,E
1000013,"כשזה עמוק","קורין אלאל",G,1,G,G,111,ok,G
1000014,"מדינה קטנה","כוורת",Em,0.36,G,Em,158,low-confidence,Em
1000015,"אצלי הכל בסדר","החלונות הגבוהים",E,1,E,E,140,ok,E
1000016,"הנסיך הקטן","קצת אחרת",Dm,1,Dm,Dm,87,ok,Dm
1000017,"כשאלוהים אמר בפעם הראשונה","מתי כספי",Em,1,Em,Em,129,ok,Em
1000018,"אני רואה אותה בדרך לגימנסיה","אריק איינשטיין",E,1,E,E,122,ok,E
1000019,"גשם כבד עומד ליפול","אביב גפן",G,1,G,C,133,ok,G
1000020,"תמיד יחכו לך","לאה שבת",A,1,A,A,119,ok,A
1000021,"שיר תשרי","חוה אלברשטיין",Dm,0.63,D,G,174,ok,Dm
1000022,"כל כיוון","רוקפור",Dm,1,Dm,Dm,102,ok,Dm
1000023,"מכונת הזמן","רוקפור",C,1,C,Em,75,ok,C
1000024,"יונתן, סע הביתה","אושיק לוי",Dm,1,A,Dm,93,ok,Dm
1000025,"מדברים על שלום","מוקי",Em,1,Em,Em,112,ok,Em
1000027,"חור בלבנה","רוקפור",Am,0.51,Bm,F,75,low-confidence,Am
1000028,"באמונה עיוורת","ברי סחרוף",A,1,A,A,117,ok,A
1000029,"סוף העונה","גלי עטרי",Bm,1,Bm,Cm,160,ok,Bm
1000030,"מודדת","ירמי קפלן",C,0.47,Am,Cm,104,low-confidence,C
1000031,"האיש שראה הכול","רוקפור",C,1,A,C,74,ok,C
1000032,"אמצע ספטמבר","גלי עטרי",Dm,1,Dm,Gm,150,ok,Dm
1000033,"פראג","אריק איינשטיין",Em,1,Em,Em,117,ok,Em
1000034,"ככלות הקול והתמונה","דני בסן",G,0.48,C,A,145,low-confidence,G
1000035,"אגדת דשא","אושיק לוי",F#m,1,Bm,F#m,157,ok,F#m
1000036,"ימים לבנים","קצת אחרת",D,0.82,D,G,108,ok,D
1000037,"שיר בין ערביים","קצת אחרת",A,0.41,A,D,106,low-confidence,A
1000038,"שיר אהבה ישן","חוה אלברשטיין",Bm,1,Bm,Bm,44,ok,Bm
1000039,"חלומות","רוחמה רז",Cm,1,Cm,Cm,90,ok,Cm
1000040,"הכוכבים דולקים על אש קטנה","משינה",G,0.61,G,Em,105,ok,G
1000041,"רוני","גזוז",G,1,G,G,132,ok,G
1000042,"ילדים של החיים","אריק איינשטיין",A,0.51,A,C,102,low-confidence,A
1000043,"לבן על לבן","דן תורן",Em,0.84,Em,Em,110,ok,Em
1000044,"סליחות","יהודית רביץ",Am,1,Am,Am,118,ok,Am
1000045,"אהבה יומיומית","יהודית רביץ",Dm,0.82,Dm,A,76,ok,Dm
1000046,"דרכנו","דני בסן",Dm,0.79,Dm,A,144,ok,Dm
1000047,"הגלשן","דני סנדרסון",G,1,G,Ab,76,ok,G
1000048,"אהוב יקר","רונית שחר",Em,0.59,Em,Am,103,ok,Em
